Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Non-homologous end-joining_Homo sapiens_hsa03450,1/13,0.01805312960024282,1.0,0,0,54.94505494505495,220.5734189108624,RAD50,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,2/202,0.03230200459799905,1.0,0,0,7.072135785007073,24.275997092091426,LAMB1;FLNC,KEGG_2016
Homologous recombination_Homo sapiens_hsa03440,1/29,0.039841313496312473,1.0,0,0,24.63054187192118,79.38056348581928,RAD50,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,2/277,0.05705986106024667,1.0,0,0,5.15729757607014,14.768717731697507,GRID1;PARD3,KEGG_2016
Ovarian steroidogenesis_Homo sapiens_hsa04913,1/50,0.0677318256109869,1.0,0,0,14.285714285714285,38.45998731248545,AKR1C3,KEGG_2016
Steroid hormone biosynthesis_Homo sapiens_hsa00140,1/58,0.07814992111457103,1.0,0,0,12.31527093596059,31.393180191202468,AKR1C3,KEGG_2016
Arachidonic acid metabolism_Homo sapiens_hsa00590,1/62,0.0833167803042863,1.0,0,0,11.52073732718894,28.630245459301573,AKR1C3,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,1/74,0.09865035474220024,1.0,0,0,9.652509652509655,22.356886588343762,PARD3,KEGG_2016
ECM-receptor interaction_Homo sapiens_hsa04512,1/82,0.10873501329274957,1.0,0,0,8.710801393728223,19.32788699749261,LAMB1,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,1/86,0.11373645491494558,1.0,0,0,8.305647840531561,18.05540951754314,LAMB1,KEGG_2016
Salmonella infection_Homo sapiens_hsa05132,1/86,0.11373645491494558,1.0,0,0,8.305647840531561,18.05540951754314,FLNC,KEGG_2016
GABAergic synapse_Homo sapiens_hsa04727,1/88,0.11622701596151899,1.0,0,0,8.116883116883116,17.469236738809034,TRAK2,KEGG_2016
Amoebiasis_Homo sapiens_hsa05146,1/100,0.1310292553948657,1.0,0,0,7.142857142857142,14.516676122064753,LAMB1,KEGG_2016
Toxoplasmosis_Homo sapiens_hsa05145,1/118,0.1527852625245616,1.0,0,0,6.053268765133172,11.372408331403454,LAMB1,KEGG_2016
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,1/137,0.1751798518463186,1.0,0,0,5.213764337851928,9.082075641137283,UBA1,KEGG_2016
Tight junction_Homo sapiens_hsa04530,1/139,0.17750369354780962,1.0,0,0,5.138746145940392,8.883678630848463,PARD3,KEGG_2016
Parkinson's disease_Homo sapiens_hsa05012,1/142,0.180977622547355,1.0,0,0,5.030181086519115,8.598500441119084,UBA1,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.1935947163491604,1.0,0,0,4.6685340802987865,7.665678786633978,PARD3,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,1/187,0.2314191795679909,1.0,0,0,3.819709702062643,5.5902390479301625,PARD3,KEGG_2016
Epstein-Barr virus infection_Homo sapiens_hsa05169,1/202,0.24755714413636234,1.0,0,0,3.5360678925035365,4.936753317623338,VIM,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,1/203,0.2486213107077131,1.0,0,0,3.518648838845883,4.897341241029372,FLNC,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,1/211,0.2570825541550688,1.0,0,0,3.3852403520649967,4.598368392940151,PARD3,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,1/255,0.3020019616443277,1.0,0,0,2.8011204481792715,3.3538424821214123,FLNC,KEGG_2016
Endocytosis_Homo sapiens_hsa04144,1/259,0.30595311094043104,1.0,0,0,2.7578599007170435,3.2661980722333874,PARD3,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,1/297,0.3424290129890663,1.0,0,0,2.4050024050024046,2.5774192017971376,VIM,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,1/341,0.3823565314335529,1.0,0,0,2.0946795140343526,2.01382860765725,LAMB1,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.4298024820736704,1.0,0,0,1.7992083483267365,1.5193046416697171,LAMB1,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,2/1239,0.5247653662199563,1.0,0,0,1.1530035743110802,0.7434613602853497,AKR1C3;TRAK2,KEGG_2016
