Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Amoebiasis_Homo sapiens_hsa05146,6/100,1.0952879990821077e-05,0.0032091938373105763,0,0,12.0,137.06289748107858,COL4A2;COL4A1;TGFB3;CASP3;LAMB1;LAMC1,KEGG_2016
ECM-receptor interaction_Homo sapiens_hsa04512,5/82,5.6831130324078296e-05,0.00832576059247747,0,0,12.19512195121951,119.21251601568649,COL4A2;COL4A1;ITGA1;LAMB1;LAMC1,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,5/101,0.00015307759902642934,0.014950578838247934,0,0,9.900990099009901,86.97589685115327,COL4A2;TGFB3;COL4A1;MMP2;CASP3,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,9/397,0.00016924733265537092,0.01239736711700592,0,0,4.534005037783375,39.37397715606237,ROCK1;COL4A2;TGFB3;MSH3;COL4A1;MMP2;CASP3;LAMB1;LAMC1,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,6/202,0.0005343384137035765,0.03131223104302958,0,0,5.9405940594059405,44.75929417545193,ROCK1;COL4A2;COL4A1;ITGA1;LAMB1;LAMC1,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,4/86,0.000912726692152766,0.044571486800126736,0,0,9.30232558139535,65.10766580097427,COL4A2;COL4A1;LAMB1;LAMC1,KEGG_2016
Toxoplasmosis_Homo sapiens_hsa05145,4/118,0.002920636172095891,0.1222494854891566,0,0,6.779661016949151,39.565788605257104,TGFB3;CASP3;LAMB1;LAMC1,KEGG_2016
Colorectal cancer_Homo sapiens_hsa05210,3/62,0.0037044719565665243,0.13567628540924895,0,0,9.677419354838712,54.176269860345315,MSH3;TGFB3;CASP3,KEGG_2016
Steroid biosynthesis_Homo sapiens_hsa00100,2/20,0.004434499847536051,0.14436760614756255,0,0,20.0,108.36680887058168,HSD17B7;LSS,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,6/341,0.007331648374590353,0.21481729737549726,0,0,3.5190615835777126,17.298140437983875,CSF1;COL4A2;COL4A1;ITGA1;LAMB1;LAMC1,KEGG_2016
Pentose phosphate pathway_Homo sapiens_hsa00030,2/29,0.009203097475114358,0.24513705092804605,0,0,13.79310344827586,64.66503682088532,TKTL2;TKT,KEGG_2016
Protein digestion and absorption_Homo sapiens_hsa04974,3/90,0.010407203415041762,0.2541092167172697,0,0,6.666666666666666,30.435047176898355,COL4A2;COL4A1;SLC1A5,KEGG_2016
Pyrimidine metabolism_Homo sapiens_hsa00240,3/105,0.015740440987510932,0.3547653237954386,0,0,5.7142857142857135,23.72298296794136,TXNRD1;UPRT;UCKL1,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,12/1239,0.02066685586867919,0.4325277692516431,0,0,1.937046004842615,7.514235404767015,TKTL2;MTAP;AKR1B10;COX15;AKR1D1;UPRT;KDSR;HSD17B7;TKT;LSS;HSD17B10;UCKL1,KEGG_2016
Steroid hormone biosynthesis_Homo sapiens_hsa00140,2/58,0.0341280219187038,0.6666340281453476,0,0,6.896551724137932,23.294044655196355,AKR1D1;HSD17B7,KEGG_2016
Viral myocarditis_Homo sapiens_hsa05416,2/59,0.035212556639048966,0.6448299434525843,0,0,6.779661016949151,22.68713584602201,CASP3;EIF4G1,KEGG_2016
Biosynthesis of amino acids_Homo sapiens_hsa01230,2/74,0.052988094493001216,0.9132653933205503,0,0,5.405405405405406,15.879394718222336,TKTL2;TKT,KEGG_2016
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410,2/83,0.06487838023453163,1.0,0,0,4.819277108433735,13.181883542388587,TGFB3;ITGA1,KEGG_2016
