Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Endocytosis_Homo sapiens_hsa04144,7/259,0.002165885812065545,0.6346045429352047,0,0,3.9169604386995696,24.03026184934439,EEA1;ACAP2;IQSEC2;WIPF3;NEDD4L;PML;EPN1,KEGG_2016
Protein export_Homo sapiens_hsa03060,2/23,0.010875687966203208,1.0,0,0,12.60239445494644,56.97826644925309,HSPA5;SRP72,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,4/153,0.02163422414282196,1.0,0,0,3.788955195604812,14.524879292047668,APC;DLG4;AJUBA;YWHAG,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,4/158,0.02400180421900255,1.0,0,0,3.66905155017428,13.684191068310316,OXTR;CAMK1;PPP1R12B;NFATC4,KEGG_2016
Prion diseases_Homo sapiens_hsa05020,2/35,0.024238864090011872,1.0,0,0,8.281573498964804,30.8057803714463,HSPA5;NCAM2,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,2/47,0.04174807766679098,1.0,0,0,6.167129201356769,19.58743060533163,RAD23A;RAD23B,KEGG_2016
Cyanoamino acid metabolism_Homo sapiens_hsa00460,1/7,0.047318329190820116,1.0,0,0,20.703933747412012,63.16475257198615,GGT7,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,3/120,0.05039506838696771,1.0,0,0,3.6231884057971016,10.825586804917798,PRKCE;KCNMA1;PPP1R12B,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,4/214,0.061087619356799176,1.0,0,0,2.7089259108763373,7.572656271222026,APC;PXN;PPP1R12B;WASF2,KEGG_2016
Taurine and hypotaurine metabolism_Homo sapiens_hsa00430,1/11,0.0733523435107302,1.0,0,0,13.175230566534914,34.42003722266562,GGT7,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,2/74,0.09263040971235124,1.0,0,0,3.9169604386995696,9.318988611905695,SORBS1;WASF2,KEGG_2016
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,2/78,0.10120741081640604,1.0,0,0,3.716090672612412,8.512015218873236,PXN;WASF2,KEGG_2016
Aldosterone synthesis and secretion_Homo sapiens_hsa04925,2/81,0.10777919100308478,1.0,0,0,3.5784576847378777,7.971625237098367,PRKCE;CAMK1,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,3/167,0.10896520989091793,1.0,0,0,2.6034886748242645,5.771222658195662,PRKCE;KCNMA1;NFATC4,KEGG_2016
Nitrogen metabolism_Homo sapiens_hsa00910,1/17,0.11108481371066996,1.0,0,0,8.525149190110827,18.733685268137396,CA3,KEGG_2016
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141,3/169,0.11187351109967512,1.0,0,0,2.572678157962439,5.635159277288227,HSPA5;RAD23A;RAD23B,KEGG_2016
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,2/93,0.13510311331320318,1.0,0,0,3.1167212092878294,6.2387937970148934,PRKCE;WASF2,KEGG_2016
Phosphatidylinositol signaling system_Homo sapiens_hsa04070,2/98,0.14690584896477735,1.0,0,0,2.9577048210588583,5.672769537513206,PI4KA;DGKZ,KEGG_2016
Mismatch repair_Homo sapiens_hsa03430,1/23,0.14729153274910692,1.0,0,0,6.30119722747322,12.068944172650678,MLH3,KEGG_2016
Histidine metabolism_Homo sapiens_hsa00340,1/24,0.1531819864913029,1.0,0,0,6.038647342995169,11.329279047333147,CARNS1,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,2/101,0.15408649053290835,1.0,0,0,2.8698522026115656,5.367315848428087,COL3A1;PRKCE,KEGG_2016
Choline metabolism in cancer_Homo sapiens_hsa05231,2/101,0.15408649053290835,1.0,0,0,2.8698522026115656,5.367315848428087,DGKZ;WASF2,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,3/205,0.16877400362120365,1.0,0,0,2.1208907741251326,3.7734776578238898,PXN;CHD4;YWHAG,KEGG_2016
beta-Alanine metabolism_Homo sapiens_hsa00410,1/31,0.1932992925327151,1.0,0,0,4.675081813931744,7.683569671431122,CARNS1,KEGG_2016
Oocyte meiosis_Homo sapiens_hsa04114,2/123,0.2084378943267866,1.0,0,0,2.3565453045834808,3.695332039710897,SLK;YWHAG,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,2/127,0.21854531794344867,1.0,0,0,2.2823234052265207,3.470870435185166,L1CAM;NFATC4,KEGG_2016
