Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Renal cell carcinoma_Homo sapiens_hsa05211,4/66,0.00033432311010974254,0.09795667126215456,0,0,12.12121212121212,97.01094105545364,PIK3CA;RAPGEF1;PIK3CB;ETS1,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,5/124,0.00039747801140926204,0.05823052867145687,0,0,8.064516129032258,63.14815276297858,CPT1A;PIK3CA;RAB14;PIK3CB;IGF1R,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,5/151,0.000971537165044435,0.09488679645267316,0,0,6.622516556291392,45.93795387124112,PIK3CA;NDUFS6;NDUFB4;PIK3CB;COX6B1,KEGG_2016
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213,3/64,0.004051724989556021,0.2967888554849785,0,0,9.375,51.64324279871367,PIK3CA;PIK3CB;IGF1R,KEGG_2016
Glioma_Homo sapiens_hsa05214,3/65,0.0042325222263702705,0.2480258024652978,0,0,9.230769230769232,50.44575870104636,PIK3CA;PIK3CB;IGF1R,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,3/66,0.004418151436739624,0.2157530618274517,0,0,9.090909090909092,49.291217248689215,RALBP1;PIK3CA;PIK3CB,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,4/139,0.005234517220934926,0.2191019351048476,0,0,5.755395683453237,30.23010451982264,PIK3CA;RAPGEF1;PIK3CB;CBL,KEGG_2016
Melanoma_Homo sapiens_hsa05218,3/71,0.005420056428053611,0.1985095666774635,0,0,8.450704225352112,44.092808894406545,PIK3CA;PIK3CB;IGF1R,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,4/142,0.0056422081079585025,0.183685219514649,0,0,5.633802816901407,29.168900177962513,PIK3CA;PIK3CB;ACVR2A;IGF1R,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,5/227,0.005669235117624142,0.16610858894638736,0,0,4.405286343612334,22.787229384282853,RALBP1;PIK3CA;PIK3CB;ETS1;IGF1R,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,3/73,0.005855883887726475,0.15597945264580518,0,0,8.21917808219178,42.249109565221346,PIK3CA;PIK3CB;CBL,KEGG_2016
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,3/78,0.007035335639566522,0.17177944519941593,0,0,7.6923076923076925,38.12930676610896,PIK3CA;PIK3CB;CBL,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,3/87,0.009491120371781656,0.2139152514563096,0,0,6.896551724137932,32.119990449552624,PIK3CA;PIK3CB;CBL,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,4/167,0.009885486352895744,0.20688910724274664,0,0,4.790419161676646,22.115868850144388,PIK3CA;ATP2A2;PIK3CB;NFATC4,KEGG_2016
Alzheimer's disease_Homo sapiens_hsa05010,4/168,0.010088544445134748,0.1970629014949654,0,0,4.761904761904762,21.88740339140316,NDUFS6;NDUFB4;ATP2A2;COX6B1,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,3/89,0.010096350777318724,0.18488942360964916,0,0,6.741573033707866,30.981446491679826,PIK3CA;PIK3CB;IGF1R,KEGG_2016
Longevity regulating pathway - mammal_Homo sapiens_hsa04211,3/94,0.01170594452802626,0.2017553968653938,0,0,6.382978723404253,28.389309490777887,PIK3CA;PIK3CB;IGF1R,KEGG_2016
SNARE interactions in vesicular transport_Homo sapiens_hsa04130,2/34,0.012512480224535568,0.20367537254382892,0,0,11.764705882352938,51.541514291749934,VAMP4;STX10,KEGG_2016
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914,3/98,0.013093976605208531,0.2019229023855842,0,0,6.1224489795918355,26.54450789170472,PIK3CA;PIK3CB;IGF1R,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,6/397,0.014721646998963727,0.2156721285348186,0,0,3.022670025188917,12.750940907074769,RALBP1;PIK3CA;PIK3CB;CBL;ETS1;IGF1R,KEGG_2016
