Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Base excision repair_Homo sapiens_hsa03410,2/33,0.003077847146316263,0.901809213870665,0,0,24.24242424242424,140.2066643603574,POLE4;POLE3,KEGG_2016
DNA replication_Homo sapiens_hsa03030,2/36,0.003654925722798421,0.5354466183899687,0,0,22.222222222222218,124.70398906814816,POLE4;POLE3,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,2/47,0.0061625935135597104,0.6018799664909983,0,0,17.02127659574468,86.62566068279676,POLE4;POLE3,KEGG_2016
Purine metabolism_Homo sapiens_hsa00230,3/176,0.009698355748043931,0.7104045585442181,0,0,6.8181818181818175,31.60771989785635,POLE4;ENTPD2;POLE3,KEGG_2016
PPAR signaling pathway_Homo sapiens_hsa03320,2/69,0.012915373039423323,0.7568408601102068,0,0,11.594202898550725,50.4270952887304,ACOX1;SLC27A6,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,3/199,0.013496844420056612,0.6590959025127646,0,0,6.030150753768844,25.961604226270765,ACOX1;HHIP;VAV2,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,3/202,0.01404639175527199,0.5879418263278133,0,0,5.9405940594059405,25.33894889558186,BCL2;VAV2;ITGA9,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,3/214,0.016371229981773882,0.5995962980824684,0,0,5.607476635514018,23.059232265916947,FGF1;VAV2;ITGA9,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,2/101,0.026431519205023568,0.8604927918968784,0,0,7.920792079207921,28.77780650844824,THBD;BCL2,KEGG_2016
Pyrimidine metabolism_Homo sapiens_hsa00240,2/105,0.0283980432384044,0.8320626668852489,0,0,7.6190476190476195,27.13474313329431,POLE4;POLE3,KEGG_2016
Insulin resistance_Homo sapiens_hsa04931,2/109,0.03042166458817436,0.810322520394099,0,0,7.339449541284404,25.63376347492304,MLXIP;SLC27A6,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,3/341,0.05350597916073605,1.0,0,0,3.5190615835777126,10.303678139511216,BCL2;FGF1;ITGA9,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,2/151,0.054805067510828746,1.0,0,0,5.298013245033112,15.385285385314825,MLXIP;ADIPOR2,KEGG_2016
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040,1/23,0.05597578058787951,1.0,0,0,17.391304347826086,50.136281239994744,ACOX1,KEGG_2016
alpha-Linolenic acid metabolism_Homo sapiens_hsa00592,1/25,0.060695529824175413,1.0,0,0,16.0,44.8301636381089,ACOX1,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,3/397,0.07683520644682904,1.0,0,0,3.022670025188917,7.7564503574605235,HHIP;BCL2;FGF1,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,2/211,0.09767941976422943,1.0,0,0,3.791469194312796,8.81920147627288,FGF1;VAV2,KEGG_2016
Fatty acid degradation_Homo sapiens_hsa00071,1/44,0.10439524246477773,1.0,0,0,9.090909090909092,20.541556134842764,ACOX1,KEGG_2016
Fatty acid metabolism_Homo sapiens_hsa01212,1/48,0.11333801483691312,1.0,0,0,8.333333333333332,18.14483869590532,ACOX1,KEGG_2016
Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520,1/48,0.11333801483691312,1.0,0,0,8.333333333333332,18.14483869590532,NANS,KEGG_2016
Hedgehog signaling pathway_Homo sapiens_hsa04340,1/50,0.1177765260040411,1.0,0,0,8.0,17.111730380290393,HHIP,KEGG_2016
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014,1/51,0.11998760892209075,1.0,0,0,7.84313725490196,16.630327847170538,BCL2,KEGG_2016
Mineral absorption_Homo sapiens_hsa04978,1/51,0.11998760892209075,1.0,0,0,7.84313725490196,16.630327847170538,MT1X,KEGG_2016
Basal cell carcinoma_Homo sapiens_hsa05217,1/55,0.12877776139221664,1.0,0,0,7.272727272727272,14.906670110673854,HHIP,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,2/258,0.1359834100026853,1.0,0,0,3.1007751937984493,6.186736080500051,POLE4;POLE3,KEGG_2016
Colorectal cancer_Homo sapiens_hsa05210,1/62,0.14395393646955568,1.0,0,0,6.451612903225807,12.504915588442213,BCL2,KEGG_2016
Synaptic vesicle cycle_Homo sapiens_hsa04721,1/63,0.1461007034145454,1.0,0,0,6.349206349206349,12.212439019853376,UNC13B,KEGG_2016
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664,1/68,0.15675564908065587,1.0,0,0,5.882352941176469,10.90039447839074,VAV2,KEGG_2016
Adipocytokine signaling pathway_Homo sapiens_hsa04920,1/70,0.16098104828531062,1.0,0,0,5.7142857142857135,10.436963619656767,ADIPOR2,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.16308595979881008,1.0,0,0,5.633802816901407,10.216776656069177,FGF1,KEGG_2016
B cell receptor signaling pathway_Homo sapiens_hsa04662,1/73,0.1672802691231711,1.0,0,0,5.479452054794519,9.797723918051938,VAV2,KEGG_2016
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412,1/74,0.16936969182663447,1.0,0,0,5.405405405405406,9.598223933017406,ITGA9,KEGG_2016
Complement and coagulation cascades_Homo sapiens_hsa04610,1/79,0.17973998119355442,1.0,0,0,5.063291139240506,8.689843146244568,THBD,KEGG_2016
ECM-receptor interaction_Homo sapiens_hsa04512,1/82,0.1859011384602527,1.0,0,0,4.878048780487805,8.207513464521687,ITGA9,KEGG_2016
Peroxisome_Homo sapiens_hsa04146,1/83,0.18794476153579326,1.0,0,0,4.819277108433735,8.055938221418495,ACOX1,KEGG_2016
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410,1/83,0.18794476153579326,1.0,0,0,4.819277108433735,8.055938221418495,ITGA9,KEGG_2016
Taste transduction_Homo sapiens_hsa04742,1/83,0.18794476153579326,1.0,0,0,4.819277108433735,8.055938221418495,ENTPD2,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.1899833569114356,1.0,0,0,4.761904761904762,7.90866098029193,ZFYVE9,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,1/86,0.19404551285483848,1.0,0,0,4.651162790697675,7.626337419019103,BCL2,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,1/89,0.20010134077429026,1.0,0,0,4.4943820224719095,7.231152075926772,BCL2,KEGG_2016
Dilated cardiomyopathy_Homo sapiens_hsa05414,1/90,0.2021100231923968,1.0,0,0,4.4444444444444455,7.1064136026227045,ITGA9,KEGG_2016
NF-kappa B signaling pathway_Homo sapiens_hsa04064,1/93,0.2081064570390282,1.0,0,0,4.301075268817205,6.751421580751072,BCL2,KEGG_2016
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,1/93,0.2081064570390282,1.0,0,0,4.301075268817205,6.751421580751072,VAV2,KEGG_2016
Longevity regulating pathway - mammal_Homo sapiens_hsa04211,1/94,0.2100954368002021,1.0,0,0,4.25531914893617,6.639120810840117,ADIPOR2,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,1/103,0.2277773453985499,1.0,0,0,3.883495145631068,5.745190999759117,BCL2,KEGG_2016
T cell receptor signaling pathway_Homo sapiens_hsa04660,1/104,0.22971789307458146,1.0,0,0,3.8461538461538463,5.657320287457543,VAV2,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,1/111,0.2431685532271013,1.0,0,0,3.603603603603604,5.0954970861820135,BCL2,KEGG_2016
Toxoplasmosis_Homo sapiens_hsa05145,1/118,0.2563889548341396,1.0,0,0,3.3898305084745757,4.613761466893121,BCL2,KEGG_2016
Leukocyte transendothelial migration_Homo sapiens_hsa04670,1/118,0.2563889548341396,1.0,0,0,3.3898305084745757,4.613761466893121,VAV2,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,1/120,0.26012446216628154,1.0,0,0,3.333333333333333,4.488650206225545,BCL2,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,1/120,0.26012446216628154,1.0,0,0,3.333333333333333,4.488650206225545,BCL2,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,1/124,0.2675403902734135,1.0,0,0,3.2258064516129035,4.253176556025354,ADIPOR2,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,1/127,0.2730544838638846,1.0,0,0,3.149606299212598,4.088453320052136,SLIT2,KEGG_2016
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650,1/135,0.2875606166970605,1.0,0,0,2.962962962962963,3.6928047415794887,VAV2,KEGG_2016
Ribosome_Homo sapiens_hsa03010,1/137,0.2911425929329805,1.0,0,0,2.9197080291970803,3.602750720430389,RPL38,KEGG_2016
