Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,4/93,0.002765460062570891,0.8102797983332711,0,0,6.881720430107527,40.53710637377284,MARCKS;BIN1;PRKCD;DOCK2,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,4/120,0.006841026803644478,1.0,0,0,5.333333333333333,26.585693019318924,ARHGEF11;PPP1R14A;ARHGEF12;PRKCD,KEGG_2016
Spliceosome_Homo sapiens_hsa03040,4/134,0.010006060837150629,0.9772586084283784,0,0,4.776119402985074,21.99194882802428,PRPF38B;PRPF38A;TRA2B;TRA2A,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,3/120,0.03948539909834612,1.0,0,0,4.0,12.927297273958994,NTRK2;PRKCD;ABL1,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,3/127,0.04544150541203427,1.0,0,0,3.779527559055118,11.683764568636608,ARHGEF12;RGS3;ABL1,KEGG_2016
Tight junction_Homo sapiens_hsa04530,3/139,0.05662177457299425,1.0,0,0,3.4532374100719423,9.915493495198664,PRKCD;SHROOM2;SHROOM1,KEGG_2016
Shigellosis_Homo sapiens_hsa05131,2/65,0.062464975983135836,1.0,0,0,4.9230769230769225,13.652427143795972,RHOG;ABL1,KEGG_2016
Salmonella infection_Homo sapiens_hsa05132,2/86,0.10100552193590072,1.0,0,0,3.72093023255814,8.530530571172804,RHOG;KLC1,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,2/87,0.102975940761174,1.0,0,0,3.67816091954023,8.361415734733464,MAP2K4;ABL1,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,5/397,0.10367517756464648,1.0,0,0,2.0151133501259446,4.5672394159125185,ARHGEF11;ARHGEF12;FGF14;APC;ABL1,KEGG_2016
GnRH signaling pathway_Homo sapiens_hsa04912,2/91,0.11096155281453582,1.0,0,0,3.5164835164835164,7.731240470190152,MAP2K4;PRKCD,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,3/211,0.14587459072694547,1.0,0,0,2.2748815165876777,4.379165104883131,FGF14;CTNND1;SIPA1L2,KEGG_2016
Insulin resistance_Homo sapiens_hsa04931,2/109,0.1486589328629901,1.0,0,0,2.9357798165137616,5.595891781531863,PRKCD;PYGM,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,3/214,0.15026849442294515,1.0,0,0,2.2429906542056077,4.251211115081713,ARHGEF12;FGF14;APC,KEGG_2016
