Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Proteoglycans in cancer_Homo sapiens_hsa05205,8/203,8.014742343742048e-05,0.0234831950671642,0,0,5.753119269353852,54.2613660849736,CAMK2D;MAP2K2;STAT3;CAMK2A;FLNA;RAF1;PPP1R12C;CD44,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,8/255,0.00038009778115605464,0.055684324939362,0,0,4.5799341634464,36.06735718110975,MAP2K2;TAOK1;RASA2;TAOK2;FLNA;MAPT;RAF1;MAP3K4,KEGG_2016
GnRH signaling pathway_Homo sapiens_hsa04912,5/91,0.000406557001628352,0.039707067159035714,0,0,8.021175904387583,62.627628245761386,CAMK2D;MAP2K2;CAMK2A;RAF1;MAP3K4,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,4/52,0.0004420698079806533,0.03238161343458286,0,0,11.229646266142616,86.73826784670901,CASP9;APC2;MAP2K2;RAF1,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,6/158,0.0007756689123778631,0.045454198265342784,0,0,5.543749422526102,39.70314028346806,CAMK2D;MAP2K2;CAMK2A;RAF1;PPP1R12C;NFATC4,KEGG_2016
Glioma_Homo sapiens_hsa05214,4/65,0.0010322054249555725,0.05040603158533046,0,0,8.983717012914092,61.77255543215822,CAMK2D;MAP2K2;CAMK2A;RAF1,KEGG_2016
Long-term potentiation_Homo sapiens_hsa04720,4/66,0.0010930208518438991,0.045750729941466055,0,0,8.847600088476002,60.330103891571945,CAMK2D;MAP2K2;CAMK2A;RAF1,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,5/118,0.0013203785832579704,0.04835886561182317,0,0,6.185822095756524,41.01099083265019,CASP9;MAP2K2;TSC2;ATP1B1;RAF1,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,4/87,0.003022634545805901,0.09840354688012548,0,0,6.711972480912827,38.94035715563166,CAMK2D;MAP2K2;CAMK2A;RAF1,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,5/146,0.0033442119916847093,0.097985411356362,0,0,4.9995000499949995,28.49977097853455,CASP9;MAP2K2;STAT3;RAF1;NFATC4,KEGG_2016
Melanogenesis_Homo sapiens_hsa04916,4/100,0.004973996484079867,0.13248917907594554,0,0,5.8394160583941614,30.96952782750873,CAMK2D;MAP2K2;CAMK2A;RAF1,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,4/103,0.00552093667817866,0.13480287055886225,0,0,5.669335979023456,29.47605553121781,CAMK2D;MAP2K2;CAMK2A;STAT3,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,3/56,0.0066881048308932425,0.15073959349628613,0,0,7.8206465067778925,39.16129871360987,CASP9;MAP2K2;RAF1,KEGG_2016
Acute myeloid leukemia_Homo sapiens_hsa05221,3/57,0.007024767448822506,0.1470183473217853,0,0,7.683442182097579,38.096912544607896,MAP2K2;STAT3;RAF1,KEGG_2016
Tuberculosis_Homo sapiens_hsa05152,5/178,0.007673735887384701,0.14989364100024785,0,0,4.100713524153202,19.970276815800133,CASP9;MRC2;CAMK2D;CAMK2A;RAF1,KEGG_2016
VEGF signaling pathway_Homo sapiens_hsa04370,3/61,0.008471057376993867,0.1551262382162002,0,0,7.179609907861673,34.25463640214456,CASP9;MAP2K2;RAF1,KEGG_2016
Colorectal cancer_Homo sapiens_hsa05210,3/62,0.008857855594311358,0.15266774641960162,0,0,7.063809748057452,33.386747651785576,CASP9;APC2;RAF1,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,4/120,0.009386336824911318,0.15278870498327868,0,0,4.8661800486618,22.717762415422662,CAMK2D;MAP2K2;CAMK2A;RAF1,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,3/66,0.010507643512664474,0.16203892364266795,0,0,6.635700066357001,30.22994248879405,CASP9;STAT3;RAF1,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,5/199,0.012042791666251796,0.1764268979105888,0,0,3.667974911051608,16.209841176724733,CAMK2D;MAP2K2;CAMK2A;ATP1B1;RAF1,KEGG_2016
Prolactin signaling pathway_Homo sapiens_hsa04917,3/72,0.013295253532641238,0.1855004421458992,0,0,6.082725060827251,26.279490174545547,MAP2K2;STAT3;RAF1,KEGG_2016
Gastric acid secretion_Homo sapiens_hsa04971,3/74,0.014309147336959262,0.19057182589677565,0,0,5.918327086210297,25.134284507637748,CAMK2D;CAMK2A;ATP1B1,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,5/211,0.015176579939148829,0.19333643139872198,0,0,3.4593697028401422,14.487846656000073,MAP2K2;SIPA1L1;CTNND1;RAF1;SIPA1L2,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,4/139,0.015414745076517671,0.18818834614248656,0,0,4.201018747046159,17.52845982311956,MAP2K2;TSC2;PYGL;RAF1,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,4/140,0.01578599004519482,0.18501180332968328,0,0,4.1710114702815435,17.3039934861558,CASP9;MAP2K2;PARP4;RAF1,KEGG_2016
Wnt signaling pathway_Homo sapiens_hsa04310,4/142,0.016545271154426267,0.1864524787787268,0,0,4.112264829855043,16.86709139030854,APC2;CAMK2D;CAMK2A;NFATC4,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,4/142,0.016545271154426267,0.17954683141655176,0,0,4.112264829855043,16.86709139030854,APC2;MAP2K2;STAT3;RAF1,KEGG_2016
Insulin secretion_Homo sapiens_hsa04911,3/85,0.02065421595711742,0.21613161697983588,0,0,5.1524259338772005,19.99056668703048,CAMK2D;CAMK2A;ATP1B1,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,3/89,0.02328642263581697,0.2352731666308404,0,0,4.920856228983843,18.50185257647981,CASP9;MAP2K2;RAF1,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,4/167,0.02799188913385456,0.27338745054064617,0,0,3.4966563223917126,12.503485238205865,MAP2K2;ATP1B1;RAF1;NFATC4,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,2/41,0.032093131512242586,0.3033318559060348,0,0,7.121239095602635,24.49074768255353,MAP2K2;RAF1,KEGG_2016
Glucagon signaling pathway_Homo sapiens_hsa04922,3/101,0.03222354874196304,0.29504686816859904,0,0,4.336200043362,14.895097635316255,CAMK2D;CAMK2A;PYGL,KEGG_2016
Choline metabolism in cancer_Homo sapiens_hsa05231,3/101,0.03222354874196304,0.28610605398167177,0,0,4.336200043362,14.895097635316255,MAP2K2;TSC2;RAF1,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,3/120,0.04950871082203687,0.42664859620167067,0,0,3.6496350364963503,10.969367330973444,MAP2K2;RAF1;PPP1R12C,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,4/202,0.0503825299276959,0.42177375053756855,0,0,2.890800028908,8.63803076508799,ZYX;FLNA;RAF1;PPP1R12C,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,5/297,0.05381544347412634,0.4379979149421949,0,0,2.4576666912433334,7.181780824261905,APC2;MAP2K2;STAT3;RAF1;CD44,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,4/214,0.059795232602665165,0.4735135987184026,0,0,2.7286990927075507,7.686279674103298,APC2;MAP2K2;RAF1;PPP1R12C,KEGG_2016
FoxO signaling pathway_Homo sapiens_hsa04068,3/133,0.06345398543419857,0.48926362453211,0,0,3.2929037923275337,9.079985537322758,MAP2K2;STAT3;RAF1,KEGG_2016
Long-term depression_Homo sapiens_hsa04730,2/60,0.06372689242803448,0.4787687046516436,0,0,4.8661800486618,13.397316945836785,MAP2K2;RAF1,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,4/227,0.0709745906173777,0.5198888762722916,0,0,2.5724299816714367,6.8051920502219225,MAP2K2;RASA2;RASAL2;RAF1,KEGG_2016
Renal cell carcinoma_Homo sapiens_hsa05211,2/66,0.07523361480001642,0.5376451008879222,0,0,4.423800044238001,11.44506588181416,MAP2K2;RAF1,KEGG_2016
Phospholipase D signaling pathway_Homo sapiens_hsa04072,3/144,0.07651444990481006,0.5337793767168891,0,0,3.0413625304136254,7.817140110529487,MAP2K2;TSC2;RAF1,KEGG_2016
Amphetamine addiction_Homo sapiens_hsa05031,2/67,0.07721169783815038,0.5261169178273968,0,0,4.35777317790609,11.161147432310539,CAMK2D;CAMK2A,KEGG_2016
Central carbon metabolism in cancer_Homo sapiens_hsa05230,2/67,0.07721169783815038,0.5141597151495014,0,0,4.35777317790609,11.161147432310539,MAP2K2;RAF1,KEGG_2016
