Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Oxytocin signaling pathway_Homo sapiens_hsa04921,4/158,0.02130113357772604,1.0,0,0,3.806985818977824,14.653069336904235,TRPM2;PPP1R12A;NFATC3;EEF2,KEGG_2016
Transcriptional misregulation in cancer_Homo sapiens_hsa05202,4/180,0.03229170242848473,1.0,0,0,3.3416875522138683,11.471829482087205,ARNT2;GOLPH3;LDB1;ETV6,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,4/203,0.04676487333966746,1.0,0,0,2.963072706396533,9.074774406584533,PPP1R12A;FLNB;ARHGEF1;CD44,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,4/211,0.052520260858233886,1.0,0,0,2.8507287175284186,8.399832555959778,DOCK4;CTNND1;SIPA1L2;RAPGEF6,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,4/214,0.054773999261369916,1.0,0,0,2.8107652308340945,8.163979098183367,PPP1R12A;ARHGEF1;BAIAP2;GIT1,KEGG_2016
NOD-like receptor signaling pathway_Homo sapiens_hsa04621,2/57,0.05525214734628765,1.0,0,0,5.2763487666534745,15.279504410201195,TAB3;MEFV,KEGG_2016
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120,2/68,0.07527053030632741,1.0,0,0,4.4228217602830595,11.44036525684599,ADAM17;GIT1,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,2/74,0.08701739323137853,1.0,0,0,4.064214590530381,9.923378411337453,CTNND1;BAIAP2,KEGG_2016
ECM-receptor interaction_Homo sapiens_hsa04512,2/82,0.10345606607139207,1.0,0,0,3.6677058499908313,8.320587708772715,SPP1;CD44,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,3/202,0.15165609709625713,1.0,0,0,2.2333060373706544,4.212327493343889,PPP1R12A;SPP1;FLNB,KEGG_2016
Epstein-Barr virus infection_Homo sapiens_hsa05169,3/202,0.15165609709625713,1.0,0,0,2.2333060373706544,4.212327493343889,EIF2AK1;VIM;CD44,KEGG_2016
Dorso-ventral axis formation_Homo sapiens_hsa04320,1/27,0.16495259629777692,1.0,0,0,5.569479253689781,10.036742642849939,ETV6,KEGG_2016
TNF signaling pathway_Homo sapiens_hsa04668,2/110,0.16623801544453626,1.0,0,0,2.734107997265892,4.9059048245967665,DAB2IP;TAB3,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,2/120,0.19001656315583187,1.0,0,0,2.5062656641604013,4.162015128112153,PPP1R12A;ARHGEF1,KEGG_2016
Platelet activation_Homo sapiens_hsa04611,2/122,0.19482824186933445,1.0,0,0,2.465179341797116,4.032138344599435,PPP1R12A;ARHGEF1,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,2/127,0.2069229826115136,1.0,0,0,2.368125037001954,3.73076459565137,RGS3;NFATC3,KEGG_2016
Notch signaling pathway_Homo sapiens_hsa04330,1/48,0.2743181354387822,1.0,0,0,3.1328320802005014,4.05221418508892,ADAM17,KEGG_2016
Vibrio cholerae infection_Homo sapiens_hsa05110,1/51,0.2887344905529836,1.0,0,0,2.948547840188707,3.662826864099408,TJP2,KEGG_2016
Mineral absorption_Homo sapiens_hsa04978,1/51,0.2887344905529836,1.0,0,0,2.948547840188707,3.662826864099408,SLC30A1,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,2/167,0.30512329206176325,1.0,0,0,1.8009094592769352,2.137750389965545,PPP1R12A;NFATC3,KEGG_2016
Pathogenic Escherichia coli infection_Homo sapiens_hsa05130,1/55,0.30751504253486794,1.0,0,0,2.734107997265892,3.224145657196096,ARHGEF2,KEGG_2016
Staphylococcus aureus infection_Homo sapiens_hsa05150,1/56,0.3121327589095778,1.0,0,0,2.6852846401718584,3.1265485294052238,CFI,KEGG_2016
Purine metabolism_Homo sapiens_hsa00230,2/176,0.327116126289916,1.0,0,0,1.7088174982911826,1.9095011019453791,PDE8B;NME1,KEGG_2016
Shigellosis_Homo sapiens_hsa05131,1/65,0.3523407117252142,1.0,0,0,2.3134759976865245,2.413317849600195,CD44,KEGG_2016
Renal cell carcinoma_Homo sapiens_hsa05211,1/66,0.3566616817696154,1.0,0,0,2.2784233310549102,2.3489806713120025,ARNT2,KEGG_2016
Inositol phosphate metabolism_Homo sapiens_hsa00562,1/71,0.3778410821636041,1.0,0,0,2.1179709837975222,2.0613821652428057,PLCH1,KEGG_2016
B cell receptor signaling pathway_Homo sapiens_hsa04662,1/73,0.3861177580147544,1.0,0,0,2.0599443815017,1.96026961265918,NFATC3,KEGG_2016
Complement and coagulation cascades_Homo sapiens_hsa04610,1/79,0.4102977608991985,1.0,0,0,1.903492909488912,1.695768795616752,CFI,KEGG_2016
Salmonella infection_Homo sapiens_hsa05132,1/86,0.4373153048926517,1.0,0,0,1.7485574401119075,1.4462332970179383,FLNB,KEGG_2016
Hematopoietic cell lineage_Homo sapiens_hsa04640,1/88,0.4448064037918686,1.0,0,0,1.7088174982911826,1.3843406342025075,CD44,KEGG_2016
GABAergic synapse_Homo sapiens_hsa04727,1/88,0.4448064037918686,1.0,0,0,1.7088174982911826,1.3843406342025075,TRAK2,KEGG_2016
Morphine addiction_Homo sapiens_hsa05032,1/91,0.4558578516178445,1.0,0,0,1.6524828554903743,1.2981479748385405,PDE8B,KEGG_2016
NF-kappa B signaling pathway_Homo sapiens_hsa04064,1/93,0.4631039036987331,1.0,0,0,1.6169455897809042,1.2447309176761672,TAB3,KEGG_2016
T cell receptor signaling pathway_Homo sapiens_hsa04660,1/104,0.5012784986329878,1.0,0,0,1.4459224985540775,0.9985446021535492,NFATC3,KEGG_2016
Pyrimidine metabolism_Homo sapiens_hsa00240,1/105,0.5046123246234886,1.0,0,0,1.432151808091658,0.9795414515320529,NME1,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,2/255,0.5075353097030614,1.0,0,0,1.1794191360754829,0.7998690782449032,NFATC3;FLNB,KEGG_2016
Toll-like receptor signaling pathway_Homo sapiens_hsa04620,1/106,0.5079240312601514,1.0,0,0,1.4186409419775854,0.9610205523479496,SPP1,KEGG_2016
Leukocyte transendothelial migration_Homo sapiens_hsa04670,1/118,0.5459912752813225,1.0,0,0,1.2743723716069837,0.7711893496917805,CTNND1,KEGG_2016
Lysosome_Homo sapiens_hsa04142,1/123,0.5609762962749735,1.0,0,0,1.2225686166636105,0.7067383421742028,AP1M1,KEGG_2016
Oocyte meiosis_Homo sapiens_hsa04114,1/123,0.5609762962749735,1.0,0,0,1.2225686166636105,0.7067383421742028,SLK,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,1/124,0.5639138616726069,1.0,0,0,1.212709192335678,0.6947050287156851,EEF2,KEGG_2016
Hepatitis C_Homo sapiens_hsa05160,1/133,0.5894893051848591,1.0,0,0,1.1306461642828876,0.5975450295091134,EIF2AK1,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,2/297,0.5900812314404251,1.0,0,0,1.0126325915799599,0.5341587009462537,VIM;CD44,KEGG_2016
Spliceosome_Homo sapiens_hsa03040,1/134,0.5922374682214022,1.0,0,0,1.122208506340478,0.5878662280062762,PRPF40A,KEGG_2016
Measles_Homo sapiens_hsa05162,1/136,0.5976791339413245,1.0,0,0,1.1057054400707649,0.5691079548315994,EIF2AK1,KEGG_2016
Ribosome_Homo sapiens_hsa03010,1/137,0.6003728767370318,1.0,0,0,1.0976345974425117,0.5600179524336372,RPL24,KEGG_2016
