Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
cAMP signaling pathway_Homo sapiens_hsa04024,7/199,0.00042987226191521785,0.12595257274115884,0,0,5.1729234407330775,40.10061868981619,OXTR;FXYD1;CAMK2A;PDE4B;ATP2B2;ATP2B1;HCN2,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,6/180,0.0014629186271535935,0.21431757887800146,0,0,4.901960784313727,31.9966753873949,PRKCG;OXTR;ORAI3;CAMK2A;ATP2B2;ATP2B1,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,5/158,0.0045341704416066685,0.4428373131302514,0,0,4.6537602382725245,25.112216752226075,PRKCG;CACNB2;PRKAA1;OXTR;CAMK2A,KEGG_2016
mTOR signaling pathway_Homo sapiens_hsa04150,3/60,0.00793387445134967,0.5811563035613633,0,0,7.352941176470589,35.56333662607036,PRKCG;PRKAA1;ULK1,KEGG_2016
Aldosterone synthesis and secretion_Homo sapiens_hsa04925,3/81,0.017848268071541246,1.0,0,0,5.446623093681917,21.927281058106235,PRKCG;CAMK2A;PRKD1,KEGG_2016
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261,4/148,0.01850908263958806,0.9038602022332168,0,0,3.97456279809221,15.856493298429436,CACNB2;CAMK2A;ATP2B2;ATP2B1,KEGG_2016
GABAergic synapse_Homo sapiens_hsa04727,3/88,0.022185902096132918,0.9286384734524208,0,0,5.01336898395722,19.09240424068716,PRKCG;GAD1;TRAK2,KEGG_2016
Salivary secretion_Homo sapiens_hsa04970,3/89,0.02284834604763605,0.8368206739946703,0,0,4.9570389953734315,18.732038403654943,PRKCG;ATP2B2;ATP2B1,KEGG_2016
Pancreatic secretion_Homo sapiens_hsa04972,3/96,0.0277848857853872,0.9045523927909388,0,0,4.595588235294118,16.46720166781246,PRKCG;ATP2B2;ATP2B1,KEGG_2016
Regulation of autophagy_Homo sapiens_hsa04140,2/39,0.02886658336961217,0.8457908927296366,0,0,7.541478129713424,26.735072682241892,PRKAA1;ULK1,KEGG_2016
ABC transporters_Homo sapiens_hsa02010,2/44,0.03605369944500945,0.9603394488534336,0,0,6.6844919786096275,22.21086765162037,ABCA2;ABCA3,KEGG_2016
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961,2/47,0.0406617502748223,0.9928244025435778,0,0,6.257822277847309,20.04047199691355,PRKCG;ATP2B1,KEGG_2016
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014,2/51,0.04712894901548506,1.0,0,0,5.767012687427912,17.617461580091103,NEFM;RAB5A,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,4/203,0.05002085943661117,1.0,0,0,2.897710808461316,8.679557148133267,PRKCG;CAMK2A;ANK2;CD44,KEGG_2016
Taurine and hypotaurine metabolism_Homo sapiens_hsa00430,1/11,0.07232517529799498,1.0,0,0,13.368983957219253,35.11474604771466,GAD1,KEGG_2016
Glioma_Homo sapiens_hsa05214,2/65,0.07234970002561826,1.0,0,0,4.524886877828054,11.883456887190828,PRKCG;CAMK2A,KEGG_2016
Wnt signaling pathway_Homo sapiens_hsa04310,3/142,0.07279790503511556,1.0,0,0,3.1068765534382767,8.140228151979287,PRKCG;CHD8;CAMK2A,KEGG_2016
Long-term potentiation_Homo sapiens_hsa04720,2/66,0.07428870904624857,1.0,0,0,4.456327985739751,11.58554502313036,PRKCG;CAMK2A,KEGG_2016
Amphetamine addiction_Homo sapiens_hsa05031,2/67,0.07624431414282938,1.0,0,0,4.389815627743634,11.298562049576931,PRKCG;CAMK2A,KEGG_2016
Thyroid hormone synthesis_Homo sapiens_hsa04918,2/71,0.084226518067748,1.0,0,0,4.142502071251036,10.249566967254808,PRKCG;TTF1,KEGG_2016
Gastric acid secretion_Homo sapiens_hsa04971,2/74,0.090372507289114,1.0,0,0,3.97456279809221,9.554114390885482,PRKCG;CAMK2A,KEGG_2016
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412,2/74,0.090372507289114,1.0,0,0,3.97456279809221,9.554114390885482,DSP;CACNB2,KEGG_2016
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410,2/83,0.1095471242720268,1.0,0,0,3.5435861091424528,7.836287964757826,CACNB2;PRKAA1,KEGG_2016
Nitrogen metabolism_Homo sapiens_hsa00910,1/17,0.10956132028111423,1.0,0,0,8.650519031141869,19.128640864197678,CA3,KEGG_2016
Insulin secretion_Homo sapiens_hsa04911,2/85,0.11394417620202522,1.0,0,0,3.460207612456748,7.515732293977913,PRKCG;CAMK2A,KEGG_2016
Salmonella infection_Homo sapiens_hsa05132,2/86,0.11615967919793398,1.0,0,0,3.4199726402188784,7.362481154703282,MYH14;PLEKHM2,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,2/87,0.1183861635993457,1.0,0,0,3.380662609871535,7.2136694552166345,PRKCG;CAMK2A,KEGG_2016
Morphine addiction_Homo sapiens_hsa05032,2/91,0.1273969805517062,1.0,0,0,3.2320620555914683,6.659493331160292,PRKCG;PDE4B,KEGG_2016
Longevity regulating pathway - mammal_Homo sapiens_hsa04211,2/94,0.13425848328688705,1.0,0,0,3.1289111389236544,6.282817138206142,PRKAA1;ULK1,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,2/95,0.1365640945146528,1.0,0,0,3.095975232198142,6.163966618206054,PRKCG;CAMK2A,KEGG_2016
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750,2/98,0.14353308179462956,1.0,0,0,3.0012004801920766,5.825899565418347,PRKCG;CAMK2A,KEGG_2016
Amoebiasis_Homo sapiens_hsa05146,2/100,0.14822032377707736,1.0,0,0,2.9411764705882355,5.6148689353690875,PRKCG;RAB5A,KEGG_2016
Melanogenesis_Homo sapiens_hsa04916,2/100,0.14822032377707736,1.0,0,0,2.9411764705882355,5.6148689353690875,PRKCG;CAMK2A,KEGG_2016
Glucagon signaling pathway_Homo sapiens_hsa04922,2/101,0.1505756700957224,1.0,0,0,2.9120559114735003,5.513364967433644,PRKAA1;CAMK2A,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,2/103,0.1553087555280736,1.0,0,0,2.855511136493432,5.317933101821264,PRKCG;CAMK2A,KEGG_2016
Maturity onset diabetes of the young_Homo sapiens_hsa04950,1/26,0.16265134558129846,1.0,0,0,5.656108597285066,10.272321002450159,NKX2-2,KEGG_2016
Butanoate metabolism_Homo sapiens_hsa00650,1/28,0.17401555807644958,1.0,0,0,5.2521008403361344,9.18387904166152,GAD1,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,2/111,0.17450980262865276,1.0,0,0,2.649708532061473,4.625793225742118,PRKCG;CAMK2A,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,3/214,0.17879326955445546,1.0,0,0,2.061572292468389,3.5490483629688754,ENAH;MYH14;FGD1,KEGG_2016
Thyroid cancer_Homo sapiens_hsa05216,1/29,0.1796401185512385,1.0,0,0,5.0709939148073016,8.705881190795894,TPR,KEGG_2016
Circadian rhythm_Homo sapiens_hsa04710,1/30,0.1852266582034092,1.0,0,0,4.901960784313727,8.265563844832547,PRKAA1,KEGG_2016
beta-Alanine metabolism_Homo sapiens_hsa00410,1/31,0.19077543213279255,1.0,0,0,4.743833017077799,7.858910297273666,GAD1,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,2/118,0.191605962347142,1.0,0,0,2.4925224327018944,4.118430446678762,PRKCG;SLC16A2,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,2/120,0.19653189525462764,1.0,0,0,2.4509803921568634,3.9875748628120764,PRKCG;CALCRL,KEGG_2016
Lysosome_Homo sapiens_hsa04142,2/123,0.2039500807451876,1.0,0,0,2.3912003825920616,3.8017217056716137,ABCA2;AP4B1,KEGG_2016
Oocyte meiosis_Homo sapiens_hsa04114,2/123,0.2039500807451876,1.0,0,0,2.3912003825920616,3.8017217056716137,SLK;CAMK2A,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,2/124,0.20642996011044346,1.0,0,0,2.3719165085389,3.7423958736596927,PRKAA1;ULK1,KEGG_2016
African trypanosomiasis_Homo sapiens_hsa05143,1/35,0.21259791362915914,1.0,0,0,4.201680672268908,6.505683305546224,PRKCG,KEGG_2016
Prion diseases_Homo sapiens_hsa05020,1/35,0.21259791362915914,1.0,0,0,4.201680672268908,6.505683305546224,STIP1,KEGG_2016
