Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Carbohydrate digestion and absorption_Homo sapiens_hsa04973,4/45,7.48930003693102e-05,0.02194364910820789,0,0,17.777777777777782,168.87911333015685,HKDC1;ATP1A2;ATP1B2;SLC37A4,KEGG_2016
Peroxisome_Homo sapiens_hsa04146,4/83,0.0007989062229020883,0.11703976165515592,0,0,9.63855421686747,68.74474204499919,PHYH;SCP2;HSD17B4;PEX14,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,15/1239,0.00122967224167929,0.120097988937344,0,0,2.4213075060532687,16.22520003701389,PRPS2;ACAA2;HSD17B4;HSD17B10;UCKL1;KHK;ALDH3A1;SCP2;MTHFD2;ETNK2;HKDC1;ACSBG1;CKB;GCLM;B4GALT4,KEGG_2016
Primary bile acid biosynthesis_Homo sapiens_hsa00120,2/17,0.00320528834894988,0.2347873715605787,0,0,23.529411764705877,135.1283111573017,SCP2;HSD17B4,KEGG_2016
p53 signaling pathway_Homo sapiens_hsa04115,3/69,0.005004400960297444,0.2932578962734302,0,0,8.695652173913043,46.0646744489602,CDK6;CDKN2A;CDK2,KEGG_2016
Proximal tubule bicarbonate reclamation_Homo sapiens_hsa04964,2/23,0.005847619592062275,0.2855587567457078,0,0,17.391304347826086,89.4212279632593,ATP1A2;ATP1B2,KEGG_2016
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261,4/148,0.0065201295108675205,0.2729139923834548,0,0,5.405405405405406,27.204654268166852,PPP1CC;CACNG7;ATP1A2;ATP1B2,KEGG_2016
Cardiac muscle contraction_Homo sapiens_hsa04260,3/78,0.007035335639566522,0.2576691677991239,0,0,7.6923076923076925,38.12930676610896,CACNG7;ATP1A2;ATP1B2,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,3/86,0.009196704279318185,0.2994038170933587,0,0,6.9767441860465125,32.71332620662264,CDK6;CDK2;PTK2,KEGG_2016
Fructose and mannose metabolism_Homo sapiens_hsa00051,2/32,0.01113452212222488,0.3262414981811889,0,0,12.5,56.22131119903187,HKDC1;KHK,KEGG_2016
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960,2/39,0.016262406432153827,0.4331713713291883,0,0,10.256410256410255,42.245119884672064,ATP1A2;ATP1B2,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,4/199,0.01777833156279621,0.4340875956582741,0,0,4.0201005025125625,16.2001000649745,PPP1CC;PDE4B;ATP1A2;ATP1B2,KEGG_2016
Fatty acid degradation_Homo sapiens_hsa00071,2/44,0.020429483861515326,0.4604491362633839,0,0,9.090909090909092,35.37069212932067,ACAA2;ACSBG1,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,3/118,0.021398747432376443,0.44784521412044986,0,0,5.084745762711865,19.547912999312093,NOTCH1;ATP1A2;ATP1B2,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,4/214,0.02252605307882407,0.4400089034730302,0,0,3.738317757009345,14.179748504760516,PPP1CC;DIAPH1;PIKFYVE;PTK2,KEGG_2016
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961,2/47,0.02312055761715071,0.4233952113640724,0,0,8.51063829787234,32.059856315573896,ATP1A2;ATP1B2,KEGG_2016
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",2/48,0.024048330053217173,0.4144800415054489,0,0,8.333333333333332,31.064081010815453,ACAA2;HSD17B10,KEGG_2016
Fatty acid metabolism_Homo sapiens_hsa01212,2/48,0.024048330053217173,0.39145337253292406,0,0,8.333333333333332,31.064081010815453,ACAA2;ACSBG1,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,3/124,0.024338598316902618,0.3753268056238141,0,0,4.838709677419356,17.979153777670227,CDK6;CDKN2A;CDK2,KEGG_2016
Butirosin and neomycin biosynthesis_Homo sapiens_hsa00524,1/5,0.024753528718293626,0.3626391957230016,0,0,40.0,147.9514890261481,HKDC1,KEGG_2016
Axon guidance_Homo sapiens_hsa04360,3/127,0.02588638538472706,0.3611767103678585,0,0,4.724409448818896,17.26317216994998,SEMA5A;LRRC4C;PTK2,KEGG_2016
Mineral absorption_Homo sapiens_hsa04978,2/51,0.026921481071539247,0.3585451797255,0,0,7.84313725490196,28.351613789825105,ATP1A2;ATP1B2,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,2/56,0.03199941777272016,0.4076447568437829,0,0,7.142857142857142,24.58598264964592,CDK6;CDKN2A,KEGG_2016
Glioma_Homo sapiens_hsa05214,2/65,0.041993132410767985,0.5126661581814592,0,0,6.153846153846153,19.50922577291064,CDK6;CDKN2A,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,2/66,0.04316735256679497,0.505921372082837,0,0,6.0606060606060606,19.04648967914321,CDK6;CDKN2A,KEGG_2016
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010,2/67,0.04435377617601188,0.4998329392142878,0,0,5.970149253731343,18.600342859450766,ALDH3A1;HKDC1,KEGG_2016
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120,2/68,0.045552254565231584,0.4943263180597354,0,0,5.882352941176469,18.169971529462465,TJP1;PTPRZ1,KEGG_2016
PPAR signaling pathway_Homo sapiens_hsa03320,2/69,0.04676264021877073,0.4893376280035652,0,0,5.797101449275362,17.754612642215182,SCP2;ACSBG1,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,5/397,0.04907122172533514,0.4957885505352826,0,0,2.518891687657431,7.593154991405954,ARNT2;CDK6;CDKN2A;CDK2;PTK2,KEGG_2016
Thyroid hormone synthesis_Homo sapiens_hsa04918,2/71,0.04921854901375952,0.4807011620343847,0,0,5.633802816901407,16.966111065129198,ATP1A2;ATP1B2,KEGG_2016
Bile secretion_Homo sapiens_hsa04976,2/71,0.04921854901375952,0.4651946729365013,0,0,5.633802816901407,16.966111065129198,ATP1A2;ATP1B2,KEGG_2016
Melanoma_Homo sapiens_hsa05218,2/71,0.04921854901375952,0.4506573394072356,0,0,5.633802816901407,16.966111065129198,CDK6;CDKN2A,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,3/167,0.05140368959773252,0.4564024561253221,0,0,3.5928143712574854,10.663635905533557,PPP1CC;ATP1A2;ATP1B2,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,2/73,0.05172034528607497,0.44570768143588135,0,0,5.479452054794519,16.229611227593956,CDK6;CDKN2A,KEGG_2016
Gastric acid secretion_Homo sapiens_hsa04971,2/74,0.052988094493001216,0.4435860481842673,0,0,5.405405405405406,15.879394718222336,ATP1A2;ATP1B2,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,2/74,0.052988094493001216,0.4312642135124822,0,0,5.405405405405406,15.879394718222336,TJP1;SSX2IP,KEGG_2016
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,2/78,0.058168160710821024,0.4606289483316368,0,0,5.128205128205128,14.586754568024508,ARHGEF26;PTK2,KEGG_2016
Fatty acid biosynthesis_Homo sapiens_hsa00061,1/13,0.06310341209244187,0.4865605195548807,0,0,15.384615384615385,42.507391331258006,ACSBG1,KEGG_2016
Insulin secretion_Homo sapiens_hsa04911,2/85,0.067632189652766,0.5081085017502677,0,0,4.705882352941177,12.676099910469508,ATP1A2;ATP1B2,KEGG_2016
Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533,1/15,0.07245523317560383,0.5307345830112982,0,0,13.333333333333332,34.997151750355876,B4GALT4,KEGG_2016
Salivary secretion_Homo sapiens_hsa04970,2/89,0.07325362038573542,0.5234953847078165,0,0,4.4943820224719095,11.747539807843163,ATP1A2;ATP1B2,KEGG_2016
Protein digestion and absorption_Homo sapiens_hsa04974,2/90,0.07468194968548275,0.5209955061392011,0,0,4.4444444444444455,11.531186015343367,ATP1A2;ATP1B2,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,3/202,0.08074778802294162,0.5502116718772534,0,0,2.9702970297029703,7.47452884205736,PPP1CC;DIAPH1;PTK2,KEGG_2016
Phenylalanine metabolism_Homo sapiens_hsa00360,1/17,0.08171463267155568,0.5441451675628594,0,0,11.764705882352938,29.464966949248122,ALDH3A1,KEGG_2016
