Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
ErbB signaling pathway_Homo sapiens_hsa04012,5/87,0.0003301586602297862,0.09673648744732737,0,0,8.389965601141036,67.25343762455267,MAP2K2;CAMK2A;ABL2;CRK;NCK1,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,5/120,0.001422662902449708,0.2084201152088822,0,0,6.082725060827251,39.87363065755748,IKBKB;MAP2K2;CAMK2A;FRS2;CRK,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,6/203,0.0027775733745437057,0.2712763329137686,0,0,4.3148394520153905,25.39791141342034,FZD3;MAP2K2;CAMK2A;FRS2;EIF4B;VEGFA,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,7/297,0.004425425288795312,0.3241624024042566,0,0,3.440733367740667,18.650112936050718,HDAC4;IKBKB;FZD3;MAP2K2;ZEB1;CRK;VEGFA,KEGG_2016
mTOR signaling pathway_Homo sapiens_hsa04150,3/60,0.008094409868449698,0.4743324182911522,0,0,7.299270072992702,35.15752989238934,IKBKB;EIF4B;VEGFA,KEGG_2016
Renal cell carcinoma_Homo sapiens_hsa05211,3/66,0.010507643512664474,0.5131232582017818,0,0,6.635700066357001,30.22994248879405,MAP2K2;CRK;VEGFA,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,3/73,0.01379686947228792,0.5774975364829086,0,0,5.9994000599940005,25.697311643160702,IKBKB;MAP2K2;CRK,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,4/139,0.015414745076517671,0.5645650384274598,0,0,4.201018747046159,17.52845982311956,IKBKB;GYS1;MAP2K2;CRK,KEGG_2016
mRNA surveillance pathway_Homo sapiens_hsa03015,3/91,0.024667683364834898,0.8030701362107361,0,0,4.81270554263255,17.817893275698346,CPSF7;SYMPK;ACIN1,KEGG_2016
Nicotine addiction_Homo sapiens_hsa05033,2/40,0.03066277991670126,0.8984194515593469,0,0,7.299270072992702,25.43580832467395,GABRB2;CACNA1A,KEGG_2016
Melanogenesis_Homo sapiens_hsa04916,3/100,0.03141944414110219,0.8368997393948129,0,0,4.37956204379562,15.15472264622853,FZD3;MAP2K2;CAMK2A,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,2/41,0.032093131512242586,0.7836072944239233,0,0,7.121239095602635,24.49074768255353,MAP2K2;VEGFA,KEGG_2016
HIF-1 signaling pathway_Homo sapiens_hsa04066,3/103,0.03386389813000045,0.7632401655453948,0,0,4.252001984267593,14.394752111022608,MAP2K2;CAMK2A;VEGFA,KEGG_2016
T cell receptor signaling pathway_Homo sapiens_hsa04660,3/104,0.034700099897387086,0.7262235192810298,0,0,4.211117349803482,14.153618949240165,IKBKB;MAP2K2;NCK1,KEGG_2016
Type II diabetes mellitus_Homo sapiens_hsa04930,2/48,0.04280621505635703,0.8361480674341739,0,0,6.082725060827251,19.167104472867653,IKBKB;CACNA1A,KEGG_2016
Notch signaling pathway_Homo sapiens_hsa04330,2/48,0.04280621505635703,0.7838888132195381,0,0,6.082725060827251,19.167104472867653,NCOR2;MAML2,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,6/397,0.055806544839241,0.9618422139939774,0,0,2.2063284855393555,6.367164225370059,ARHGEF11;IKBKB;FZD3;MAP2K2;CRK;VEGFA,KEGG_2016
Acute myeloid leukemia_Homo sapiens_hsa05221,2/57,0.05822099860140415,0.9477084772339676,0,0,5.1222947880650525,14.56529229661292,IKBKB;MAP2K2,KEGG_2016
Long-term depression_Homo sapiens_hsa04730,2/60,0.06372689242803448,0.9827357621796896,0,0,4.8661800486618,13.397316945836785,MAP2K2;CACNA1A,KEGG_2016
VEGF signaling pathway_Homo sapiens_hsa04370,2/61,0.06559997399271239,0.9610396189932364,0,0,4.786406605241115,13.039033047671303,MAP2K2;VEGFA,KEGG_2016
Tight junction_Homo sapiens_hsa04530,3/139,0.07043950979440254,0.9827988747504736,0,0,3.1507640602846188,8.35898005956609,EPB41L2;EXOC4;SYMPK,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,4/227,0.0709745906173777,0.9452525023132576,0,0,2.5724299816714367,6.8051920502219225,IKBKB;MAP2K2;ABL2;VEGFA,KEGG_2016
Glioma_Homo sapiens_hsa05214,2/65,0.07327221955160894,0.9334243621139748,0,0,4.491858506457047,11.73980342950832,MAP2K2;CAMK2A,KEGG_2016
Shigellosis_Homo sapiens_hsa05131,2/65,0.07327221955160894,0.8945316803592257,0,0,4.491858506457047,11.73980342950832,IKBKB;CRK,KEGG_2016
Wnt signaling pathway_Homo sapiens_hsa04310,3/142,0.07405729354598467,0.8679514803589403,0,0,3.084198622391282,8.027910707012445,FZD3;CHD8;CAMK2A,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,3/142,0.07405729354598467,0.8345687311143657,0,0,3.084198622391282,8.027910707012445,FZD3;MAP2K2;RIF1,KEGG_2016
Long-term potentiation_Homo sapiens_hsa04720,2/66,0.07523361480001642,0.8164240420890669,0,0,4.423800044238001,11.44506588181416,MAP2K2;CAMK2A,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,2/66,0.07523361480001642,0.7872660405858861,0,0,4.423800044238001,11.44506588181416,IKBKB;VEGFA,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,5/341,0.08558572043099527,0.8647108995269522,0,0,2.140548408502258,5.261974928066709,IKBKB;GYS1;MAP2K2;EIF4B;VEGFA,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,3/153,0.08800690544123528,0.8595341098093977,0,0,2.862458852154,6.956748237181864,WWTR1;FZD3;DLG4,KEGG_2016
B cell receptor signaling pathway_Homo sapiens_hsa04662,2/73,0.08941314869819021,0.8450984699538623,0,0,3.999600039996,9.65698442338362,IKBKB;MAP2K2,KEGG_2016
Gastric acid secretion_Homo sapiens_hsa04971,2/74,0.09149937296515416,0.8377911337121926,0,0,3.9455513908068656,9.43548297322544,CAMK2A;ATP1A1,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,4/255,0.09838336541568657,0.8735250323271567,0,0,2.2899670817232,5.310166972647932,IKBKB;MAP2K2;CACNA1A;CRK,KEGG_2016
Nitrogen metabolism_Homo sapiens_hsa00910,1/17,0.11032337391025117,0.9507278986971645,0,0,8.587376556461999,18.929493027238518,CA3,KEGG_2016
RNA transport_Homo sapiens_hsa03013,3/172,0.11444685425846088,0.9580836656494012,0,0,2.546257002206756,5.519380543258448,POM121C;ACIN1;EIF4B,KEGG_2016
Insulin secretion_Homo sapiens_hsa04911,2/85,0.11532625072762336,0.938627540644268,0,0,3.4349506225848003,7.419459697223818,CAMK2A;ATP1A1,KEGG_2016
Influenza A_Homo sapiens_hsa05164,3/175,0.11887033652199802,0.9413245567823086,0,0,2.5026068821689256,5.329856906740263,IVNS1ABP;IKBKB;MAP2K2,KEGG_2016
Gap junction_Homo sapiens_hsa04540,2/88,0.12207540086239185,0.9412655908600214,0,0,3.3178500331785004,6.9778247687497865,GJA1;MAP2K2,KEGG_2016
GABAergic synapse_Homo sapiens_hsa04727,2/88,0.12207540086239185,0.9171305757097644,0,0,3.3178500331785004,6.9778247687497865,GABRB2;CACNA1A,KEGG_2016
Prostate cancer_Homo sapiens_hsa05215,2/89,0.12434641340606573,0.9108374781994314,0,0,3.2805708193225622,6.838953340055351,IKBKB;MAP2K2,KEGG_2016
GnRH signaling pathway_Homo sapiens_hsa04912,2/91,0.12891889706243082,0.9212984594949324,0,0,3.2084703617550336,6.572781831332924,MAP2K2;CAMK2A,KEGG_2016
