Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,2/78,0.0036023817908896524,1.0,0,0,22.29654403567447,125.44392516624487,ARHGAP10;CRK,KEGG_2016
Non-homologous end-joining_Homo sapiens_hsa03450,1/13,0.01485157498633772,1.0,0,0,66.88963210702342,281.5818969679811,RAD50,KEGG_2016
Regulation of actin cytoskeleton_Homo sapiens_hsa04810,2/214,0.024874059209828825,1.0,0,0,8.126777732629012,30.019746585640803,APC;CRK,KEGG_2016
Homologous recombination_Homo sapiens_hsa03440,1/29,0.03284101139028785,1.0,0,0,29.985007496251875,102.43110037062469,RAD50,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,2/297,0.045300059161732416,1.0,0,0,5.855658029571072,18.12002307419408,APC;CRK,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,1/47,0.05270352786213395,1.0,0,0,18.501387604070306,54.45093216132983,DDB2,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,1/52,0.05815127291207919,1.0,0,0,16.722408026755854,47.57035970082799,APC,KEGG_2016
Basal cell carcinoma_Homo sapiens_hsa05217,1/55,0.061405522433389814,1.0,0,0,15.810276679841895,44.114711556706496,APC,KEGG_2016
Colorectal cancer_Homo sapiens_hsa05210,1/62,0.06895699900429587,1.0,0,0,14.025245441795231,37.507323583348885,APC,KEGG_2016
Shigellosis_Homo sapiens_hsa05131,1/65,0.07217552517985372,1.0,0,0,13.377926421404686,35.16594350476071,CRK,KEGG_2016
Renal cell carcinoma_Homo sapiens_hsa05211,1/66,0.0732460002885256,1.0,0,0,13.175230566534914,34.43915199137557,CRK,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,2/397,0.07562984191863117,1.0,0,0,4.380681195925966,11.310499788896456,APC;CRK,KEGG_2016
p53 signaling pathway_Homo sapiens_hsa04115,1/69,0.07645034215035326,1.0,0,0,12.60239445494644,32.40219119266911,DDB2,KEGG_2016
RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622,1/70,0.07751609910283618,1.0,0,0,12.422360248447205,31.7673246439332,TANK,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,1/73,0.08070631631088797,1.0,0,0,11.911852293031568,29.981398900977076,CRK,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,1/87,0.09545498041931633,1.0,0,0,9.995002498750624,23.479265885712447,CRK,KEGG_2016
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666,1/93,0.10170630850221997,1.0,0,0,9.350163627863488,21.371350606337515,CRK,KEGG_2016
Neurotrophin signaling pathway_Homo sapiens_hsa04722,1/120,0.12932949536655852,1.0,0,0,7.246376811594202,14.821680459913926,CRK,KEGG_2016
Oocyte meiosis_Homo sapiens_hsa04114,1/123,0.13234809252711072,1.0,0,0,7.069635913750442,14.29706442382853,SMC3,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,1/124,0.13335206514611525,1.0,0,0,7.012622720897616,14.128769577938282,SMC3,KEGG_2016
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,1/137,0.14630301126698295,1.0,0,0,6.3471913678197405,12.19978031320236,DDB2,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,1/139,0.14827895930134327,1.0,0,0,6.255864873318736,11.940318543595435,CRK,KEGG_2016
Wnt signaling pathway_Homo sapiens_hsa04310,1/142,0.15123468094132653,1.0,0,0,6.123698714023269,11.56719210185677,APC,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,1/142,0.15123468094132653,1.0,0,0,6.123698714023269,11.56719210185677,APC,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,1/146,0.15516038431864526,1.0,0,0,5.955926146515782,11.097653123854236,DDB2,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.16198861000362846,1.0,0,0,5.683432793407217,10.345150638483076,APC,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,1/187,0.19441022605931604,1.0,0,0,4.650081376424088,7.6158325280330885,CRK,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,1/202,0.20832925011088266,1.0,0,0,4.304778303917348,6.7526281428053405,CRK,KEGG_2016
Rap1 signaling pathway_Homo sapiens_hsa04015,1/211,0.2165699294087844,1.0,0,0,4.121162167731301,6.30472608330536,CRK,KEGG_2016
MAPK signaling pathway_Homo sapiens_hsa04010,1/255,0.255690526626552,1.0,0,0,3.4100596760443307,4.650596576821454,CRK,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.25828865646888965,1.0,0,0,3.3704078193461413,4.5624452172372285,APC,KEGG_2016
