Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
p53 signaling pathway_Homo sapiens_hsa04115,7/69,5.286603980164964e-08,1.5489749661883345e-05,0,0,20.28985507246377,339.96676150055697,CASP9;CDK6;RRM2B;CDKN2A;GORAB;TNFRSF10B;DDB2,KEGG_2016
Pyrimidine metabolism_Homo sapiens_hsa00240,6/105,1.4492803863468555e-05,0.002123195765998143,0,0,11.428571428571427,127.3355236229266,POLE4;UCK1;RRM2B;POLR1B;POLE3;UCKL1,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,6/205,0.0005774334499230941,0.056396000275822186,0,0,5.853658536585367,43.65024796353465,CDK6;CDKN1B;CDKN2A;ACTN4;BAK1;HLA-F,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,3/47,0.0016765192380744738,0.1228050341889552,0,0,12.765957446808507,81.58768745084016,POLE4;POLE3;DDB2,KEGG_2016
Purine metabolism_Homo sapiens_hsa00230,5/176,0.001913261846339104,0.1121171441954715,0,0,5.6818181818181825,35.56219159407561,POLE4;RRM2B;POLR1B;POLE3;ADK,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,3/56,0.002774492692168193,0.13548772646754678,0,0,10.714285714285714,63.07807887995647,CASP9;CDK6;CDKN2A,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,3/66,0.004418151436739624,0.1849311958521014,0,0,9.090909090909092,49.291217248689215,CASP9;CDK6;CDKN2A,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,4/140,0.005368142491188597,0.1966082187397824,0,0,5.7142857142857135,29.870133343467565,CASP9;AIFM1;TNFRSF10B;BAK1,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,3/73,0.005855883887726475,0.1906415532337619,0,0,8.21917808219178,42.249109565221346,CDKN1B;CDK6;CDKN2A,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,4/146,0.006218069574267214,0.18218943852602934,0,0,5.479452054794519,27.83723714102391,CASP9;CDK6;CDKN1B;DDB2,KEGG_2016
Peroxisome_Homo sapiens_hsa04146,3/83,0.008346007342833412,0.22230728649547185,0,0,7.2289156626506035,34.59738807477436,PXMP2;HACL1;PEX14,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,3/86,0.009196704279318185,0.224552862820019,0,0,6.9767441860465125,32.71332620662264,CASP9;CDKN1B;CDK6,KEGG_2016
Base excision repair_Homo sapiens_hsa03410,2/33,0.011814596043916764,0.26628281852827784,0,0,12.12121212121212,53.799024957965315,POLE4;POLE3,KEGG_2016
DNA replication_Homo sapiens_hsa03030,2/36,0.013960915236479576,0.29218201173489394,0,0,11.111111111111109,47.46104024938396,POLE4;POLE3,KEGG_2016
ABC transporters_Homo sapiens_hsa02010,2/44,0.020429483861515326,0.3990559180949326,0,0,9.090909090909092,35.37069212932067,ABCB7;TAP2,KEGG_2016
Drug metabolism - other enzymes_Homo sapiens_hsa00983,2/46,0.0222080432575084,0.4066847921531226,0,0,8.695652173913043,33.10696301587085,UCK1;UCKL1,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,3/124,0.024338598316902618,0.4194829004030863,0,0,4.838709677419356,17.979153777670227,CDK6;CDKN1B;CDKN2A,KEGG_2016
Glutathione metabolism_Homo sapiens_hsa00480,2/52,0.02790857758050539,0.4542896239493378,0,0,7.6923076923076925,27.52939382494905,RRM2B;OPLAH,KEGG_2016
Measles_Homo sapiens_hsa05162,3/136,0.030840345798215468,0.4755905957303754,0,0,4.411764705882354,15.348227283957215,CDK6;CDKN1B;TNFRSF10B,KEGG_2016
Tight junction_Homo sapiens_hsa04530,3/139,0.03259476166351094,0.4775132583704352,0,0,4.316546762589929,14.77814541880185,SHROOM2;SHROOM3;ACTN4,KEGG_2016
Viral myocarditis_Homo sapiens_hsa05416,2/59,0.035212556639048966,0.4912990045353023,0,0,6.779661016949151,22.68713584602201,CASP9;HLA-F,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,4/258,0.04059217530781545,0.5406139711449967,0,0,3.1007751937984493,9.935441728238935,POLE4;CDKN2A;POLE3;HLA-F,KEGG_2016
Glioma_Homo sapiens_hsa05214,2/65,0.041993132410767985,0.5349559911458706,0,0,6.153846153846153,19.50922577291064,CDK6;CDKN2A,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,11/1239,0.0451720909243147,0.5514759433676754,0,0,1.775625504439064,5.499601976276927,GAMT;POLE4;CYP27A1;MTAP;UCK1;RRM2B;HIBADH;POLR1B;POLE3;ADK;UCKL1,KEGG_2016
PPAR signaling pathway_Homo sapiens_hsa03320,2/69,0.04676264021877073,0.5480581433639931,0,0,5.797101449275362,17.754612642215182,CYP27A1;FABP5,KEGG_2016
Melanoma_Homo sapiens_hsa05218,2/71,0.04921854901375952,0.5546551869627515,0,0,5.633802816901407,16.966111065129198,CDK6;CDKN2A,KEGG_2016
