Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Malaria_Homo sapiens_hsa05144,3/49,0.0027457885257051963,0.8045160380316224,0,0,10.741138560687432,63.34787310808364,GYPA;HBB;HBA2,KEGG_2016
Thyroid cancer_Homo sapiens_hsa05216,2/29,0.011826372804514065,1.0,0,0,12.099213551119174,53.68933161448836,RXRA;MAP2K2,KEGG_2016
Gap junction_Homo sapiens_hsa04540,3/88,0.013935477337664731,1.0,0,0,5.980861244019137,25.558118206030308,MAP3K2;TJP1;MAP2K2,KEGG_2016
African trypanosomiasis_Homo sapiens_hsa05143,2/35,0.01695202737300832,1.0,0,0,10.025062656641603,40.875868103069955,HBB;HBA2,KEGG_2016
Transcriptional misregulation in cancer_Homo sapiens_hsa05202,4/180,0.019692338010149992,1.0,0,0,3.8986354775828462,15.311990847514105,RXRA;BCL6;JMJD1C;ETV6,KEGG_2016
FoxO signaling pathway_Homo sapiens_hsa04068,3/133,0.040553081080532856,1.0,0,0,3.9572615749901066,12.683591290264886,MAP2K2;BCL6;AGAP2,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,2/56,0.040621658514130535,1.0,0,0,6.265664160401004,20.071766251096346,MAP2K2;RXRA,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,3/140,0.046036800411654887,1.0,0,0,3.7593984962406015,11.572609749551173,SPTA1;MAP2K2;PARP1,KEGG_2016
Central carbon metabolism in cancer_Homo sapiens_hsa05230,2/67,0.056030450040435435,1.0,0,0,5.2369730295888965,15.092223018087369,MAP2K2;SIRT6,KEGG_2016
Bile secretion_Homo sapiens_hsa04976,2/71,0.06206634825645156,1.0,0,0,4.94193229552755,13.736354499396091,RXRA;AQP4,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,2/73,0.0651638680782169,1.0,0,0,4.806536890170632,13.125931911743779,BCR;MAP2K2,KEGG_2016
Fatty acid biosynthesis_Homo sapiens_hsa00061,1/13,0.071638483872761,1.0,0,0,13.495276653171391,35.575207356977394,FASN,KEGG_2016
GnRH signaling pathway_Homo sapiens_hsa04912,2/91,0.09515594563857586,1.0,0,0,3.85579332947754,9.06974436162207,MAP3K2;MAP2K2,KEGG_2016
Longevity regulating pathway - mammal_Homo sapiens_hsa04211,2/94,0.1004816478455976,1.0,0,0,3.732736095558044,8.577007005074599,SESN1;ULK2,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,3/205,0.11232930687048172,1.0,0,0,2.5673940949935816,5.613146294796518,HDAC4;CHD4;HLA-A,KEGG_2016
Collecting duct acid secretion_Homo sapiens_hsa04966,1/27,0.14310556894732926,1.0,0,0,6.4977257959714105,12.632700953240144,SLC4A1,KEGG_2016
Dorso-ventral axis formation_Homo sapiens_hsa04320,1/27,0.14310556894732926,1.0,0,0,6.4977257959714105,12.632700953240144,ETV6,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,2/118,0.14567443389578744,1.0,0,0,2.973535533749628,5.728162509774536,RXRA;MAP2K2,KEGG_2016
Vascular smooth muscle contraction_Homo sapiens_hsa04270,2/120,0.14961221067767025,1.0,0,0,2.9239766081871346,5.554703492969967,MAP2K2;MYLK,KEGG_2016
Base excision repair_Homo sapiens_hsa03410,1/33,0.1720389388421968,1.0,0,0,5.31632110579479,9.356908235902694,PARP1,KEGG_2016
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650,2/135,0.17976373233738152,1.0,0,0,2.599090318388564,4.460329794487533,MAP2K2;HLA-A,KEGG_2016
Prion diseases_Homo sapiens_hsa05020,1/35,0.18146652701967614,1.0,0,0,5.012531328320802,8.554807350473528,MAP2K2,KEGG_2016
Endocytosis_Homo sapiens_hsa04144,3/259,0.1839856505880366,1.0,0,0,2.03210729526519,3.440149380916066,AGAP2;HLA-A;EPS15L1,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,2/139,0.18795783775610247,1.0,0,0,2.524296352391771,4.219456288170197,MAP2K2;FASN,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,2/142,0.19413756189302048,1.0,0,0,2.470966147763776,4.050378772611396,ZFHX3;MAP2K2,KEGG_2016
Allograft rejection_Homo sapiens_hsa05330,1/38,0.1954087513192556,1.0,0,0,4.616805170821792,7.53768122662141,HLA-A,KEGG_2016
Regulation of autophagy_Homo sapiens_hsa04140,1/39,0.20000364514190735,1.0,0,0,4.49842555105713,7.239854641883263,ULK2,KEGG_2016
"Glycine, serine and threonine metabolism_Homo sapiens_hsa00260",1/40,0.20457252711779186,1.0,0,0,4.385964912280701,6.959792590096806,BPGM,KEGG_2016
Graft-versus-host disease_Homo sapiens_hsa05332,1/41,0.209115543229536,1.0,0,0,4.278990158322636,6.696056231738787,HLA-A,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.209115543229536,1.0,0,0,4.278990158322636,6.696056231738787,MAP2K2,KEGG_2016
Type I diabetes mellitus_Homo sapiens_hsa04940,1/43,0.2181245575317232,1.0,0,0,4.079967360261119,6.212521479132445,HLA-A,KEGG_2016
Phagosome_Homo sapiens_hsa04145,2/154,0.219092634858782,1.0,0,0,2.2784233310549102,3.459240483887064,NCF1;HLA-A,KEGG_2016
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962,1/44,0.22259084363141607,1.0,0,0,3.9872408293460926,5.990510266020702,AQP4,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,2/158,0.2274760384859474,1.0,0,0,2.220741727737064,3.2882753086269814,MAP2K2;MYLK,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,3/297,0.2400440704821064,1.0,0,0,1.7721070352649302,2.5286775571305067,HDAC4;MAP2K2;DICER1,KEGG_2016
Fatty acid metabolism_Homo sapiens_hsa01212,1/48,0.24020450214852124,1.0,0,0,3.6549707602339176,5.212955505040863,FASN,KEGG_2016
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,2/167,0.2464153031977399,1.0,0,0,2.101061035823091,2.9430338105213907,MAP2K2;MYLK,KEGG_2016
Vibrio cholerae infection_Homo sapiens_hsa05110,1/51,0.2531546163284746,1.0,0,0,3.439972480220158,4.725678862010546,TJP1,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,1/52,0.2574225118574089,1.0,0,0,3.373819163292848,4.5783958467979184,MAP2K2,KEGG_2016
Autoimmune thyroid disease_Homo sapiens_hsa05320,1/53,0.26166623087870555,1.0,0,0,3.3101621979476987,4.437886512085148,HLA-A,KEGG_2016
Acute myeloid leukemia_Homo sapiens_hsa05221,1/57,0.278402046118184,1.0,0,0,3.077870113881194,3.9356386610847593,MAP2K2,KEGG_2016
Viral myocarditis_Homo sapiens_hsa05416,1/59,0.2866283887292272,1.0,0,0,2.973535533749628,3.715636975935329,HLA-A,KEGG_2016
Glycerolipid metabolism_Homo sapiens_hsa00561,1/59,0.2866283887292272,1.0,0,0,2.973535533749628,3.715636975935329,LPIN2,KEGG_2016
Long-term depression_Homo sapiens_hsa04730,1/60,0.2907066314543067,1.0,0,0,2.9239766081871346,3.612399589640872,MAP2K2,KEGG_2016
mTOR signaling pathway_Homo sapiens_hsa04150,1/60,0.2907066314543067,1.0,0,0,2.9239766081871346,3.612399589640872,ULK2,KEGG_2016
VEGF signaling pathway_Homo sapiens_hsa04370,1/61,0.29476176282840394,1.0,0,0,2.8760425654299686,3.513338603814153,MAP2K2,KEGG_2016
Glioma_Homo sapiens_hsa05214,1/65,0.31075375969871377,1.0,0,0,2.699055330634278,3.15453292813874,MAP2K2,KEGG_2016
Long-term potentiation_Homo sapiens_hsa04720,1/66,0.314695266907252,1.0,0,0,2.658160552897395,3.073233692291243,MAP2K2,KEGG_2016
Renal cell carcinoma_Homo sapiens_hsa05211,1/66,0.314695266907252,1.0,0,0,2.658160552897395,3.073233692291243,MAP2K2,KEGG_2016
Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010,1/67,0.3186144308801277,1.0,0,0,2.6184865147944487,2.9949557158088624,BPGM,KEGG_2016
Epstein-Barr virus infection_Homo sapiens_hsa05169,2/202,0.3201648797317597,1.0,0,0,1.7370158068438422,1.9783205953133336,HDAC4;HLA-A,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,2/203,0.3222568516887643,1.0,0,0,1.728459078731311,1.9573180803044248,MAP2K2;ANK1,KEGG_2016
Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120,1/68,0.32251137711037503,1.0,0,0,2.5799793601651184,2.9195481566226285,TJP1,KEGG_2016
